run,sweep,surface,source_slab,git_commit,qe_version,nat,ecutwfc_ry,ecutrho_ry,ecutwfc_requested_ry,ecutrho_requested_ry,kmesh,k1,k2,k3,a1_angstrom,a2_angstrom,lz_angstrom,k_density_a1_angstrom,k_density_a2_angstrom,energy_ry,sigma_xx_kbar,sigma_yy_kbar,sigma_zz_kbar,pressure_kbar,sigma_mean_kbar,anisotropy_kbar,tau_mean_n_per_m,scf_converged,job_done,pseudo_C,pseudo_H,pseudo_consistency,name_consistency,cutoff_consistency,notes
cutoff_C100_2x1_H_6L_sym~ecut_60,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,60.000000,480.000000,60.000000,480.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.786131,6.110000,-50.710000,-2.230000,-15.610000,-22.300000,56.820000,-1.616895,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C100_2x1_H_6L_sym~ecut_70,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,70.000000,560.000000,70.000000,560.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.793065,7.370000,-49.510000,-1.200000,-14.450000,-21.070000,56.880000,-1.527712,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C100_2x1_H_6L_sym~ecut_80,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,80.000000,640.000000,80.000000,640.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.795248,8.050000,-48.800000,-0.500000,-13.750000,-20.375000,56.850000,-1.477320,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C100_2x1_H_6L_sym~ecut_90,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,90.000000,720.000000,90.000000,720.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.795847,8.250000,-48.600000,-0.290000,-13.550000,-20.175000,56.850000,-1.462819,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C100_2x1_H_6L_sym~ecut_100,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,100.000000,800.000000,100.000000,800.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.796145,8.270000,-48.590000,-0.280000,-13.530000,-20.160000,56.860000,-1.461731,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C100_2x1_H_6L_sym~ecut_120,cutoff,C100,C100_2x1_H_6L_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,32,120.000000,960.000000,120.000000,960.000000,5 5 1,5,5,1,5.053892,5.053892,14.501300,25.269458,25.269458,-451.796638,8.300000,-48.560000,-0.240000,-13.500000,-20.130000,56.860000,-1.459556,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C110_1x1_H_6L_SSSP_sym~ecut_60,cutoff,C110,C110_1x1_H_6L_SSSP_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,16,60.000000,480.000000,60.000000,480.000000,9 7 1,9,7,1,2.526946,3.573641,16.097327,22.742512,25.015487,-225.938415,22.700000,50.860000,-2.890000,23.560000,36.780000,-28.160000,2.960298,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C110_1x1_H_6L_SSSP_sym~ecut_70,cutoff,C110,C110_1x1_H_6L_SSSP_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,16,70.000000,560.000000,70.000000,560.000000,9 7 1,9,7,1,2.526946,3.573641,16.097327,22.742512,25.015487,-225.941860,24.290000,52.350000,-1.540000,25.030000,38.320000,-28.060000,3.084248,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C110_1x1_H_6L_SSSP_sym~ecut_80,cutoff,C110,C110_1x1_H_6L_SSSP_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,16,80.000000,640.000000,80.000000,640.000000,9 7 1,9,7,1,2.526946,3.573641,16.097327,22.742512,25.015487,-225.942981,25.170000,53.280000,-0.600000,25.950000,39.225000,-28.110000,3.157088,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
cutoff_C110_1x1_H_6L_SSSP_sym~ecut_90,cutoff,C110,C110_1x1_H_6L_SSSP_sym,0b58a63589ec9349a05b8d5c5c7e326aeffc37cd-dirty,7.3.1,16,90.000000,720.000000,90.000000,720.000000,9 7 1,9,7,1,2.526946,3.573641,16.097327,22.742512,25.015487,-225.943279,25.430000,53.530000,-0.350000,26.200000,39.480000,-28.100000,3.177612,yes,yes,C.pbe-n-kjpaw_psl.1.0.0.UPF,H_ONCV_PBE-1.0.oncvpsp.upf,ok,ok,ok,
